"Loan reference","Outstanding Scheme Facility Principal2","Outstanding Scheme Facility Principal","Total amount claimed under the Government Guarantee2","Total amount claimed from the DTI","Settled Amount2","Settled Amount","Cumulative Value of All Pre-Claim Limit Realisations2","Cumulative Value of All Pre-Claim Limit Realisations","Cumulative Value of All Post-Claim Limit Realisations2","Cumulative Value of All Post-Claim Limit Realisations"
"M69QG54+01",17000,17000,12750,12750,12750,0,3402,3402,0,0
"QL5C8DZ+01",17073.91,17073.91,12805.43,12805.43,12805.43,0,0,0,0,0
"YRVA6T8+01",17303.85,17303.85,12977.89,12977.89,12977.89,0,2142.03,2142.03,0,0
"GC3XEHS+01",17375.07,17375.07,13031.3,13031.3,13031.3,0,0,0,0,0
"M83AR46+01",17380.18,17380.18,13035.14,13035.14,13035.14,0,0,0,0,0
"FTXLSER+01",17504.41,17504.41,13128.31,13128.31,13128.31,0,0,0,0,0
"7BHSPBC+01",17506.75,17506.75,13130.06,13130.06,13130.06,0,157.5,157.5,0,0
"48MKT97+01",17508.8,17508.8,13131.6,13131.6,13131.6,0,0,0,0,0
"H9HMFSM+01",17575,17575,13181.25,13181.25,13181.25,0,0,0,0,0
"4XWTQU8+01",17626.95,17626.95,13220.21,13220.21,13220.21,0,0,0,0,0
"DQ5ETLQ+01",17881.92,17881.92,13411.44,13411.44,13411.44,0,0,0,0,0
"SD7STG2+01",18180.58,18180.58,13635.44,13635.44,13635.44,0,0,0,0,0
"NGE7X4H+01",18270.02,18270.02,13702.52,13702.52,13702.52,0,0,0,0,0
"J3WFK5M+01",18533.28,18533.28,13899.96,13899.96,13899.96,0,0,0,0,0
"DBFEG73+01",18627.36,18627.36,13970.52,13970.52,13970.52,0,195,195,0,0
"UB79LWX+01",18685,18685,14013.75,14013.75,14013.75,0,0,0,195,195
"LMDZ8EV+01",18725,18725,14043.75,14043.75,14043.75,0,0,0,0,0
"VSWAUUJ+01",18923.06,18923.06,14192.3,14192.3,14192.3,0,0,0,3375,3375
"WUFEAKD+01",18937.55,18937.55,14203.16,14203.16,14203.16,0,0,0,0,0
"LR5V3C6+01",19087.53,19087.53,14315.65,14315.65,14315.65,0,375,375,0,0
"KBG26DH+01",19336.84,19336.84,14502.63,14502.63,14502.63,0,0,0,0,0
"82JCYH9+01",19358.34,19358.34,14518.76,14518.76,14518.76,0,0,0,0,0
"ZFARJQH+01",19550,19550,14662.5,14662.5,14662.5,14662.5,0,0,0,0
"BEAZLXF+01",19614.78,19614.78,14711.09,14711.09,14711.09,0,14711.08,14711.08,0,0
"MJKLAJP+01",19665,19665,14748.75,14748.75,14748.75,0,0,0,0,0
"FCWD6YW+01",19701.98,19701.98,14776.49,14776.49,14776.49,0,3751.76,3751.76,482.81,482.81
"DBL444H+01",19740,19740,14805,14805,14805,0,1932,1932,0,0
"K46KTMB+01",19775,19775,14831.25,14831.25,14831.25,0,0,0,0,0
"RRB5C9L+01",19779.21,19779.21,14834.41,14834.41,14834.41,0,0,0,0,0
"AF3WUYH+01",19873.59,19873.59,14905.19,14905.19,14905.19,0,0,0,11625,11625
"YZA6EE6+01",16250,16250,12187.5,12187.5,12187.5,0,0,0,0,0
"E385F86+01",16300.04,16300.04,12225.03,12225.03,12225.03,0,0,0,0,0
"MS9M6NH+01",16496.63,16496.63,12372.47,12372.47,12372.47,0,0,0,0,0
"TGJDAE6+01",16811.96,16811.96,12608.97,12608.97,12608.97,0,0,0,0,0
"P2PUNLN+01",16978.04,16978.04,12733.53,12733.53,12733.53,0,0,0,0,0
"JKU5ZAX+01",16999.98,16999.98,12749.99,12749.99,12749.99,0,0,0,0,0
"5V3GZWN+01",25153.37,25153.37,18865.03,18865.03,18865.03,0,0,0,11578.82,11578.82
"UKJ89BC+01",25320.83,25320.83,18990.62,18990.62,18990.62,0,0,0,0,0
"FFDK49F+01",25500,25500,19125,19125,19125,0,0,0,0,0
"QL4JZLP+01",25530.6,25530.6,19147.95,19147.95,19147.95,0,0,0,0,0
"N87FPB8+01",25666.72,25666.72,19250.04,19250.04,19250.04,0,9000,9000,1800,1800
"2EPTSES+01",25755,25755,19316.25,19316.25,19316.25,0,0,0,0,0
"WV7ZW6Z+01",25755,25755,19316.25,19316.25,19316.25,0,0,0,0,0
"RNPHEY9+01",25849.9,25849.9,19387.42,19387.42,19387.42,19387.42,0,0,0,0
"C5UM2ZX+01",25913.76,25913.76,19435.32,19435.32,19435.32,0,0,0,0,0
"YA84G3T+01",25927.75,25927.75,19445.81,19445.81,19445.81,0,0,0,0,0
"KV2XVUR+01",26368.56,26368.56,19776.42,19776.42,19776.42,19776.42,0,0,0,0
"DVYU8GD+01",27142.88,27142.88,20357.16,20357.16,20357.16,0,0,0,0,0
"WKJPMA8+01",27339.19,27339.19,20504.39,20504.39,20504.39,0,48.75,48.75,0,0
"5EBBQDX+01",27526.27,27526.27,20644.7,20644.7,20644.7,0,9187.5,9187.5,3281.25,3281.25
"22Q7JT7+01",27774.91,27774.91,20831.18,20831.18,20831.18,0,0,0,319.5,319.5
"MZGMX8J+01",27813.86,27813.86,20860.4,20860.4,20860.4,0,0,0,0,0
"KHZE6AD+01",28160.34,28160.34,21120.26,21120.26,21120.26,0,0,0,0,0
"ZDQQY5C+01",28252.58,28252.58,21189.44,21189.44,21189.44,0,0,0,0,0
"ZA9A63F+01",28867.28,28867.28,21650.46,21650.46,21650.46,0,0,0,0,0
"J8UDRQY+01",29166.7,29166.7,21875.02,21875.02,21875.02,21875.02,0,0,0,0
"VCD4SS8+01",29398.32,29398.32,22048.74,22048.74,22048.74,0,60,60,0,0
"5UCX3EM+01",29543,29543,22157.25,22157.25,22157.25,22157.25,0,0,0,0
"KZXPXJF+01",29945.52,29945.52,22459.14,22459.14,22459.14,0,0,0,0,0
"TKXVN82+01",30116.5,30116.5,22587.38,22587.38,22587.38,0,0,0,0,0
"BFV4YWT+01",30217.5,30217.5,22663.13,22663.13,22663.13,0,3732.56,3732.56,8727.68,8727.68
"G7X3ED3+01",30377.42,30377.42,22783.06,22783.06,22783.06,22783.06,0,0,0,0
"VMVX9WP+01",30593.93,30593.93,22945.44,22945.44,22945.44,22945.44,0,0,0,0
"XAXQ3S5+01",30608.82,30608.82,22956.62,22956.62,22956.62,0,0,0,0,0
"WV292HN+01",30720.87,30720.87,23040.65,23040.65,23040.65,0,0,0,0,0
"WM4QFSW+01",31076.7,31076.7,23307.53,23307.53,23307.53,0,0,0,0,0
"REGXZ8T+01",31155,31155,23366.25,23366.25,23366.25,23366.25,0,0,0,0
"APTSHY6+01",31315.72,31315.72,23486.79,23486.79,23486.79,0,0,0,0,0
"JMSK8D9+01",31620,31620,23715,23715,23715,0,0,0,0,0
"NCK345B+01",31810,31810,23857.5,23857.5,23857.5,0,0,0,0,0
"GGDYEGE+01",31977.95,31977.95,23983.46,23983.46,23983.46,0,0,0,0,0
"QD23H8X+01",32404.15,32404.15,24303.11,24303.11,24303.11,0,0,0,0,0
"54ARCJF+01",32404.2,32404.2,24303.15,24303.15,24303.15,0,0,0,0,0
"QATE7LY+01",32452.5,32452.5,24339.38,24339.38,24339.38,0,2756.25,2756.25,985.5,985.5
"TNLBANN+01",32526.49,32526.49,24394.87,24394.87,24394.87,0,2057.65,2057.65,0,0
"QSK9P5H+01",32579.96,32579.96,24434.97,24434.97,24434.97,24434.97,0,0,0,0
"ZZ94K62+01",32906,32906,24679.5,24679.5,24679.5,0,0,0,0,0
"44QAZX2+01",32916.7,32916.7,24687.53,24687.53,24687.53,0,0,0,0,0
"BY4Y3RC+01",20000,20000,15000,15000,15000,0,0,0,0,0
"93YHUCU+01",20038.87,20038.87,15029.15,15029.15,15029.15,0,0,0,0,0
"WDPGU9Z+01",20062.83,20062.83,15047.12,15047.12,15047.12,0,0,0,0,0
"BXL7G97+01",20200,20200,15150,15150,15150,0,1073.76,1073.76,358.3,358.3
"JTPKAHU+01",20250,20250,15187.5,15187.5,15187.5,0,0,0,0,0
"CDEGKTE+01",20455.72,20455.72,15341.79,15341.79,15341.79,0,0,0,0,0
"WQ88KPE+01",20533.28,20533.28,15399.96,15399.96,15399.96,0,1950,0,0,1950
"W66JSMF+01",20581.96,20581.96,15436.47,15436.47,15436.47,0,1462.5,1462.5,0,0
"UMCZHJ4+01",20620.87,20620.87,15465.65,15465.65,15465.65,0,93.75,93.75,0,0
"QKQM7RC+01",20778.9,20778.9,15584.18,15584.18,15584.18,0,1987.5,1987.5,1200,1200
"7VUK875+01",20883.36,20883.36,15662.52,15662.52,15662.52,0,19.67,19.67,0,0
"R2J8GNN+01",20905.3,20905.3,15678.98,15678.98,15678.98,0,0,0,0,0
"3KZPFS9+01",21029.24,21029.24,15771.93,15771.93,15771.93,0,0,0,0,0
"QMJYXJK+01",21175.99,21175.99,15881.99,15881.99,15881.99,0,0,0,0,0
"59SX2QS+01",21249.97,21249.97,15937.48,15937.48,15937.48,0,0,0,0,0
"WCKF8HU+01",21354.19,21354.19,16015.64,16015.64,16015.64,0,0,0,0,0
"JDDPDWY+01",21369.43,21369.43,16027.07,16027.07,16027.07,0,12735,10824.75,0,1910.25
"Q97QPZC+01",21383.22,21383.22,16037.41,16037.41,16037.41,16037.41,0,0,0,0
"JLDC3DJ+01",21392.41,21392.41,16044.31,16044.31,16044.31,0,0,0,0,0
"J2XC63J+01",21717.53,21717.53,16288.15,16288.15,16288.15,0,0,0,0,0
"U7DDR2W+01",21722.74,21722.74,16292.06,16292.06,16292.06,0,1406.25,1406.25,0,0
"X5T9YYA+01",21864.26,21864.26,16398.19,16398.19,16398.19,0,0,0,0,0
"6N5552L+01",21978.53,21978.53,16483.9,16483.9,16483.9,0,0,0,0,0
"EVTP2W8+01",22586.72,22586.72,16940.04,16940.04,16940.04,0,3067.5,3067.5,3420,3420
"CEB7RMB+01",22603.85,22603.85,16952.89,16952.89,16952.89,0,0,0,0,0
"VDCXUQP+01",22619.8,22619.8,16964.85,16964.85,16964.85,0,1280.11,1280.11,315.03,315.03
"6YCJXWK+01",22666.6,22666.6,16999.95,16999.95,16999.95,0,0,0,0,0
"A4ZVJR8+01",22731.75,22731.75,17048.81,17048.81,17048.81,0,0,0,0,0
"2EJMLC8+01",22767.87,22767.87,17075.9,17075.9,17075.9,0,1650,1650,0,0
"H2LYJR3+01",22824.9,22824.9,17118.68,17118.68,17118.68,0,0,0,0,0
"2VSNM6N+01",22845.2,22845.2,17133.9,17133.9,17133.9,0,0,0,0,0
"QASPD4R+01",22906.64,22906.64,17179.98,17179.98,17179.98,0,0,0,0,0
"2E7ZPA2+01",22927.52,22927.52,17195.64,17195.64,17195.64,0,0,0,0,0
"BUJ4LB4+01",23085.77,23085.77,17314.33,17314.33,17314.33,0,0,0,0,0
"7MEAPX8+01",23145.85,23145.85,17359.39,17359.39,17359.39,0,7320.87,7320.87,0,0
"5HC3726+01",23145.89,23145.89,17359.42,17359.42,17359.42,0,0,0,0,0
"2C8QCXU+01",23333.35,23333.35,17500.01,17500.01,17500.01,17500.01,0,0,0,0
"4L8LJWW+01",23539.3,23539.3,17654.48,17654.48,17654.48,0,4725,4725,1575,1575
"DLP22GL+01",23550.1,23550.1,17662.58,17662.58,17662.58,0,0,0,3300.08,3300.08
"WC7W5DR+01",23590.61,23590.61,17692.96,17692.96,17692.96,0,285.75,285.75,0,0
"QRLQAJC+01",23604.15,23604.15,17703.11,17703.11,17703.11,0,0,0,0,0
"WTC378A+01",23846.68,23846.68,17885.01,17885.01,17885.01,0,0,0,0,0
"GTENHEJ+01",23930.04,23930.04,17947.53,17947.53,17947.53,0,0,0,0,0
"4N7QANQ+01",24328.35,24328.35,18246.26,18246.26,18246.26,0,0,0,0,0
"EJ7MBFJ+01",24343.5,24343.5,18257.63,18257.63,18257.63,0,0,0,0,0
"348K7JT+01",24500,24500,18375,18375,18375,0,0,0,0,0
"PY5PDXN+01",24745,24745,18558.75,18558.75,18558.75,0,0,0,0,0
"8GZY2VA+01",24811.08,24811.08,18608.31,18608.31,18608.31,0,6000,6000,0,0
"MS5TVE7+01",33508.85,33508.85,25131.64,25131.64,25131.64,0,9175.5,9175.5,0,0
"MXHGP2W+01",33711.61,33711.61,25283.71,25283.71,25283.71,0,4500,4500,3375,3375
"KGZUANA+01",34083.3,34083.3,25562.48,25562.48,25562.48,0,0,0,0,0
"TSXWLZQ+01",34212.5,34212.5,25659.38,25659.38,25659.38,0,0,0,0,0
"Y338PDK+01",34366.67,34366.67,25775,25775,25775,0,450,450,0,0
"34N3AFJ+01",34509.97,34509.97,25882.48,25882.48,25882.48,0,0,0,0,0
"KAX577X+01",34676.61,34676.61,26007.46,26007.46,26007.46,0,0,0,0,0
"AVH9BM4+01",34854.16,34854.16,26140.62,26140.62,26140.62,0,0,0,0,0
"M6WYP26+01",34932.92,34932.92,26199.69,26199.69,26199.69,0,0,0,0,0
"NKY6X3C+01",35350,35350,26512.5,26512.5,26512.5,0,0,0,0,0
"M8G3MET+01",35467.87,35467.87,26600.9,26600.9,26600.9,0,0,0,0,0
"DC7KK2G+01",35573.89,35573.89,26680.42,26680.42,26680.42,0,0,0,0,0
"TU4K9Q4+01",35599.98,35599.98,26699.99,26699.99,26699.99,0,0,0,0,0
"3DQ9J94+01",35603.64,35603.64,26702.73,26702.73,26702.73,0,0,0,0,0
"G7CW4QH+01",35643,35643,26732.25,26732.25,26732.25,0,0,0,0,0
"ZT2C27C+01",35686.62,35686.62,26764.97,26764.97,26764.97,0,0,0,0,0
"6SNZ9GD+01",35981,35981,26985.75,26985.75,26985.75,0,675,675,0,0
"75GJPG4+01",36125,36125,27093.75,27093.75,27093.75,27093.75,0,0,0,0
"HRSXCBK+01",36166.05,36166.05,27124.54,27124.54,27124.54,0,0,0,0,0
"VKMLV92+01",36360,36360,27270,27270,27270,0,0,0,0,0
"5GBL73H+01",36387.42,36387.42,27290.57,27290.57,27290.57,0,0,0,0,0
"J46SP28+01",36759.92,36759.92,27569.94,27569.94,27569.94,0,0,0,0,0
"AQCVD2W+01",36966.73,36966.73,27725.05,27725.05,27725.05,0,313.44,313.44,0,0
"5NCG8K7+01",37183.43,37183.43,27887.57,27887.57,27887.57,0,0,0,3000,3000
"6626K6P+01",37706.68,37706.68,28280.01,28280.01,28280.01,0,0,0,0,0
"UB9BB7Z+01",38179.09,38179.09,28634.32,28634.32,28634.32,0,0,0,0,0
"H6K2RLY+01",38585.71,38585.71,28939.28,28939.28,28939.28,0,0,0,0,0
"VQJ3LRP+01",38860.4,38860.4,29145.3,29145.3,29145.3,0,4526.12,4526.12,0,0
"5UAG542+01",39166.71,39166.71,29375.03,29375.03,29375.03,0,546.77,546.77,0,0
"2XN86PN+01",39230.91,39230.91,29423.18,29423.18,29423.18,0,1782,1782,0,0
"QMYACLL+01",39293.7,39293.7,29470.27,29470.27,29470.27,29470.27,0,0,0,0
"8ALRDJA+01",39390,39390,29542.5,29542.5,29542.5,0,0,0,337.5,337.5
"8PVFG9F+01",39436.66,39436.66,29577.5,29577.5,29577.5,0,412.5,412.5,0,0
"RXAQN2A+01",39922.91,39922.91,29942.18,29942.18,29942.18,0,9000,9000,0,0
"FGS72RK+01",39980.51,39980.51,29985.38,29985.38,29985.38,0,878.08,878.08,489.39,489.39
"SK8FTGD+01",40214.67,40214.67,30161,30161,30161,0,0,0,0,0
"5QKSSLT+01",40378.94,40378.94,30284.21,30284.21,30284.21,0,0,0,0,0
"9UH3945+01",40416.59,40416.59,30312.44,30312.44,30312.44,0,0,0,0,0
"VSBBUYS+01",40811.7,40811.7,30608.78,30608.78,30608.78,0,14550,14550,0,0
"9WYEGBS+01",40881.89,40881.89,30661.41,30661.41,30661.41,0,0,0,1207.3,1207.3
"GV3HHG2+01",41500,41500,31125,31125,31125,0,1350,1350,975,975
"GRVZNUX+01",41566.68,41566.68,31175.01,31175.01,31175.01,0,0,0,0,0
"87T9B6K+01",42000,42000,31500,31500,31500,0,60,60,0,0
"BML7EH7+01",42083.32,42083.32,31562.49,31562.49,31562.49,0,0,0,0,0
"RNG4FKU+01",42376,42376,31782,31782,31782,0,0,0,0,0
"RVMJDW9+01",43251.56,43251.56,32438.67,32438.67,32438.67,32438.67,0,0,0,0
"E8JPD44+01",43556.25,43556.25,32667.19,32667.19,32667.19,0,0,0,0,0
"J7HVQ6B+01",43645,43645,32733.75,32733.75,32733.75,0,0,0,0,0
"5W9JXT8+01",43694.42,43694.42,32770.82,32770.82,32770.82,0,0,0,0,0
"LGGRUN7+01",43775,43775,32831.25,32831.25,32831.25,32831.25,0,0,0,0
"9HARZF3+01",43842.25,43842.25,32881.69,32881.69,32881.69,0,0,0,9375,9375
"EM6E6QC+01",43988.62,43988.62,32991.47,32991.47,32991.47,0,0,0,0,0
"AHG5BD9+01",44052.75,44052.75,33039.56,33039.56,33039.56,0,0,0,0,0
"WQW3JLF+01",44227.08,44227.08,33170.31,33170.31,33170.31,0,3350.42,3350.42,356.25,356.25
"CR54UVA+01",45650,45650,34237.5,34237.5,34237.5,0,0,0,0,0
"UVHEUGM+01",46166.65,46166.65,34624.99,34624.99,34624.99,0,0,0,0,0
"MLUJHA5+01",46171.4,46171.4,34628.55,34628.55,34628.55,0,0,0,0,0
"SA62TEZ+01",46497.14,46497.14,34872.86,34872.86,34872.86,0,0,0,0,0
"CR6LEJN+01",46934.2,46934.2,35200.65,35200.65,35200.65,0,0,0,0,0
"R9GDRNZ+01",47701.87,47701.87,35776.4,35776.4,35776.4,35776.4,0,0,0,0
"VEX3DLN+01",48812.74,48812.74,36609.55,36609.55,36609.55,36609.55,0,0,1800,1800
"F4J8KER+01",49043.8,49043.8,36782.85,36782.85,36782.85,0,0,0,0,0
"3MLYSRS+01",49859.26,49859.26,37394.45,37394.45,37394.45,0,8250,8250,27000,27000
"JNH6XDJ+01",50000,50000,37500,37500,37500,0,0,0,0,0
"RN56B5D+01",50000,50000,37500,37500,37500,0,2550,2550,1425,1425
"5T25URS+01",50155.24,50155.24,37616.43,37616.43,37616.43,0,0,0,0,0
"SWD2FAK+01",50218.75,50218.75,37664.06,37664.06,37664.06,0,0,0,0,0
"LWSL3SM+01",50637.64,50637.64,37978.23,37978.23,37978.23,0,0,0,0,0
"9869JVR+01",50650,50650,37987.5,37987.5,37987.5,0,156.75,156.75,299.25,299.25
"9SZGF3L+01",51000,51000,38250,38250,38250,38250,0,0,0,0
"CFKU4KV+01",51172.9,51172.9,38379.68,38379.68,38379.68,0,8127.2,8127.2,2250,2250
"N4QBL2J+01",51174.73,51174.73,38381.05,38381.05,38381.05,0,3300,3300,600,600
"94U9YD2+01",51583.36,51583.36,38687.52,38687.52,38687.52,0,0,0,0,0
"T7TN5M9+01",52015,52015,39011.25,39011.25,39011.25,0,0,0,0,0
"UMZPMTZ+01",54273.63,54273.63,40705.22,40705.22,40705.22,0,0,0,0,0
"2L5X93P+01",54540,54540,40905,40905,40905,0,0,0,0,0
"RAVBBLT+01",57120,57120,42840,42840,42840,0,1500,1500,0,0
"N7D47WS+01",58000,58000,43500,43500,43500,0,0,0,0,0
"H4HL3S5+01",58140,58140,43605,43605,43605,0,0,0,0,0
"B8D87KQ+01",58333.35,58333.35,43750.01,43750.01,43750.01,0,0,0,0,0
"R259JLD+01",59632.12,59632.12,44724.09,44724.09,44724.09,0,1652.06,1652.06,0,0
"X6P88RU+01",59647.98,59647.98,44735.99,44735.99,44735.99,0,14250,14250,3750,3750
"Y33XE2P+01",60690.54,60690.54,45517.91,45517.91,45517.91,0,8100,8100,9413.18,9413.18
"JRV4AC8+01",61531.01,61531.01,46148.26,46148.26,46148.26,0,15000.03,15000.03,0,0
"GBP9W3N+01",62235.4,62235.4,46676.55,46676.55,46676.55,0,0,0,0,0
"E74JAJX+01",64166.68,64166.68,48125.01,48125.01,48125.01,0,0,0,0,0
"G5FVLD8+01",64727.47,64727.47,48545.6,48545.6,48545.6,0,0,0,0,0
"B98EKXS+01",65000.02,65000.02,48750.02,48750.02,48750.02,0,0,0,0,0
"2HXG4BA+01",65018.71,65018.71,48764.03,48764.03,48764.03,0,0,0,0,0
"ZUAADMP+01",66371.5,66371.5,49778.63,49778.63,49778.63,0,0,0,0,0
"VHFCPJ8+01",66396.25,66396.25,49797.19,49797.19,49797.19,0,8100,4050,0,4050
"7HW8F6X+01",66666.64,66666.64,49999.98,49999.98,49999.98,0,0,0,0,0
"4JMJEXJ+01",66800,66800,50100,50100,50100,0,1950,1950,900,900
"HR4M7HT+01",66801.92,66801.92,50101.44,50101.44,50101.44,0,7500,7500,14250,14250
"TSETQKY+01",67110.7,67110.7,50333.03,50333.03,50333.03,0,0,0,0,0
"VN2YALS+01",67500,67500,50625,50625,50625,0,0,0,0,0
"QX3PH9Z+01",68428.5,68428.5,51321.38,51321.38,51321.38,0,300,300,0,0
"Z2UJX6U+01",69705.56,69705.56,52279.17,52279.17,52279.17,0,0,0,0,0
"7QPU2TB+01",69895.82,69895.82,52421.87,52421.87,52421.87,0,2627.85,2627.85,0,0
"9W94WQH+01",70393.74,70393.74,52795.3,52795.3,52795.3,52795.3,0,0,0,0
"2FGC5WK+01",71642.75,71642.75,53732.06,53732.06,53732.06,0,0,0,35280.96,35280.96
"H7EDX32+01",74005.46,74005.46,55504.1,55504.1,55504.1,0,0,0,0,0
"AMFTJEC+01",75165.3,75165.3,56373.98,56373.98,56373.98,0,0,0,0,0
"BWQKXF7+01",75750,75750,56812.5,56812.5,56812.5,0,0,0,0,0
"HKJSTF2+01",76190.5,76190.5,57142.88,57142.88,57142.88,0,0,0,0,0
"38TMKGS+01",76500,76500,57375,57375,57375,0,8458.13,8458.13,0,0
"GAA2M8T+01",78459.16,78459.16,58844.37,58844.37,58844.37,0,0,0,0,0
"YKQLV7C+01",78999.97,78999.97,59249.98,59249.98,59249.98,0,7875,7875,1125,1125
"4P8XSY6+01",79977.1,79977.1,59982.82,59982.82,59982.82,59982.82,0,0,0,0
"PF6GGAC+01",83055,83055,62291.25,62291.25,62291.25,0,0,0,1397.44,1397.44
"NF43L3B+01",84166.7,84166.7,63125.03,63125.03,63125.03,0,0,0,0,0
"2US3FBT+01",86362.83,86362.83,64772.12,64772.12,64772.12,64772.12,0,0,0,0
"J9WZ8RA+01",87154.17,87154.17,65365.62,65365.62,65365.62,65365.62,0,0,0,0
"UQT28Q4+01",87402.8,87402.8,65552.1,65552.1,65552.1,0,2565,2565,570.75,570.75
"B2QUGHU+01",88504.21,88504.21,66378.16,66378.16,66378.16,0,0,0,0,0
"7WAMXNN+01",89216.62,89216.62,66912.47,66912.47,66912.47,0,0,0,0,0
"6KQVHX8+01",90899.96,90899.96,68174.97,68174.97,68174.97,0,13500,13500,5062.5,5062.5
"MU6QAP3+01",91375,91375,68531.25,68531.25,68531.25,0,0,0,0,0
"4X72FPN+01",92542.9,92542.9,69407.18,69407.18,69407.18,0,0,0,0,0
"5DMR5RL+01",93144.46,93144.46,69858.35,69858.35,69858.35,0,0,0,0,0
"X54ZX7Z+01",95125,95125,71343.75,71343.75,71343.75,71343.75,0,0,0,0
"WVSZCHV+01",96866.98,96866.98,72650.24,72650.24,72650.24,0,1725,1725,0,0
"369WZMT+01",97410,97410,73057.5,73057.5,73057.5,0,0,0,0,0
"A2FH3HZ+01",111985,111985,83988.75,83988.75,83988.75,0,180,180,0,0
"EG5VPAA+01",112005.81,112005.81,84004.36,84004.36,84004.36,0,45064.67,45064.67,0,0
"9EYPWQR+01",112239.8,112239.8,84179.85,84179.85,84179.85,0,0,0,7373.93,7373.93
"W3JV8BM+01",113657.1,113657.1,85242.83,85242.83,85242.83,0,0,0,0,0
"KZ8GQAF+01",118623.64,118623.64,88967.73,88967.73,88967.73,0,0,0,0,0
"NGSYJR7+01",118802.38,118802.38,89101.79,89101.79,89101.79,0,0,0,0,0
"UR2M7QM+01",118999.95,118999.95,89249.96,89249.96,89249.96,0,0,0,0,0
"63U56N8+01",120569.76,120569.76,90427.32,90427.32,90427.32,0,0,0,3000,3000
"AV8342H+01",123737.48,123737.48,92803.11,92803.11,92803.11,0,0,0,0,0
"XMAGS3F+01",125479.6,125479.6,94109.7,94109.7,94109.7,0,0,0,0,0
"H66WSYX+01",130000,130000,97500,97500,97500,0,0,0,0,0
"SDYFFTM+01",137025,137025,102768.75,102768.75,102768.75,0,0,0,0,0
"7TZMMTP+01",137472.2,137472.2,103104.15,103104.15,103104.15,0,0,0,5208.32,5208.32
"6AEU9FR+01",144075,144075,108056.25,108056.25,108056.25,0,0,0,0,0
"7KK7USS+01",144702.24,144702.24,108526.68,108526.68,108526.68,0,0,0,0,0
"YFC9S9R+01",147200,147200,110400,110400,110400,0,0,0,0,0
"AXZMMF3+01",147814.94,147814.94,110861.21,110861.21,110861.21,0,0,0,0,0
"KJ26UW3+01",170833.27,170833.27,128124.95,128124.95,128124.95,0,0,0,0,0
"J5UWDWN+01",177193.28,177193.28,132894.96,132894.96,132894.96,0,2250,2250,0,0
"HVCYJXD+01",182304.98,182304.98,136728.74,136728.74,136728.74,0,0,0,0,0
"WGYZ5CM+01",183000,183000,137250,137250,137250,0,137250,137250,0,0
"LYHPBE9+01",183333.32,183333.32,137499.99,137499.99,137499.99,0,0,0,0,0
"KQQM4MP+01",217500,217500,163125,163125,163125,0,0,0,0,0
"SKWXGPM+01",240000,240000,180000,180000,180000,0,0,0,0,0
"7LFAFUN+01",246568.92,246568.92,184926.69,184926.69,184926.69,0,0,0,0,0
"9RW38Y8+01",250000,250000,187500,187500,187500,0,0,0,0,0
"PAH3KA7+01",254450,254450,190837.5,190837.5,190837.5,0,28132.58,28132.58,0,0
"4NWPJZH+01",286540.9,286540.9,214905.68,214905.68,214905.68,0,16203.67,16203.67,0,0
"QSAGC2H+01",348844.8,348844.8,261633.6,261633.6,261633.6,0,0,0,0,0
"GT3732P+01",391329.78,391329.78,293497.34,293497.34,293497.34,0,0,0,0,0
"J6NYT48+01",400000,400000,300000,300000,300000,0,7499.96,7499.96,11249.96,11249.96
"WKELNMS+01",408700,408700,306525,306525,306525,0,0,0,0,0
"6WR32UZ+01",419278.81,419278.81,314459.11,314459.11,314459.11,0,0,0,2680.75,2680.75
"S7S5MTK+01",440000,440000,330000,330000,330000,0,20379.83,20379.83,0,0
"KQDDHWX+01",444631.55,444631.55,333473.66,333473.66,333473.66,333473.66,0,0,0,0
"Z3ASKZT+01",708297.91,708297.91,531223.43,531223.43,531223.43,0,0,0,0,0
"JQ3RN6U+01",850000,850000,637500,637500,637500,0,0,0,0,0
"VMXCLXM+01",974358.97,974358.97,730769.23,730769.23,730769.23,0,0,0,0,0
"NZXBGRK+01",7331.6,7331.6,5498.7,5498.7,0,0,0,0,0,0
"72NYU3P+01",2647.18,2647.18,1985.39,1985.39,1985.39,0,0,0,0,0
"H6K7MTH+01",3878.35,3878.35,2908.76,2908.76,2908.76,0,0,0,0,0
"PG4UUHH+01",4238.54,4238.54,3178.9,3178.9,3178.9,3178.9,0,0,0,0
"UZ6JFUA+01",9301.66,9301.66,6976.25,6976.25,6976.25,0,0,0,0,0
"4BWBQBQ+01",49534.25,49534.25,37150.69,37150.69,26125.13,0,0,0,0,0
"U8VFEWM+01",40178.41,40178.41,30133.81,30133.81,0,0,0,0,0,0
"A7HDGQ2+01",6891.84,0,5168.88,5168.88,0,0,0,0,0,0
"ASZNKAW+01",12505.84,0,9379.38,9379.38,0,0,0,0,0,0
"BJUH2TC+01",22152.04,0,16614.03,16614.03,0,0,0,0,0,0
"MTK26HD+01",15278.52,0,11458.89,11458.89,0,0,0,0,0,0
"3P27LD4+01",26599.35,0,19949.51,19949.51,0,0,0,0,0,0
"4NXQVXQ+01",20000,0,15000,15000,0,0,0,0,0,0
"5RUSA29+01",10061.95,0,7546.46,7546.46,0,0,0,0,0,0
"5VX9KS7+01",18142.63,0,13606.97,13606.97,0,0,0,0,0,0
