"Loan reference","Outstanding Scheme Facility Principal2","Outstanding Scheme Facility Principal","Total amount claimed under the Government Guarantee2","Total amount claimed from the DTI","Settled Amount2","Settled Amount","Cumulative Value of All Pre-Claim Limit Realisations2","Cumulative Value of All Pre-Claim Limit Realisations","Cumulative Value of All Post-Claim Limit Realisations2","Cumulative Value of All Post-Claim Limit Realisations"
"H9HSCQ3+01",22920,22920,17190,17190,17190,17190,0,0,0,0
"JVCP9HD+01",23000,23000,17250,17250,17250,0,0,0,0,0
"TBSH73E+01",23000,23000,17250,17250,17250,17250,0,0,0,0
"LTQJ6HD+01",23250,23250,17437.5,17437.5,17437.5,17437.5,0,0,0,0
"EC2QCGS+01",23252.49,23252.49,17439.37,17439.37,17439.37,0,0,0,0,0
"QDJS6ET+01",23333.34,23333.34,17500,17500,17500,17500,0,0,0,0
"4HHN4E9+01",23368.7,23368.7,17526.53,17526.53,17526.53,0,0,0,0,0
"J97EQWS+01",23421.69,23421.69,17566.27,17566.27,17566.27,0,0,0,0,0
"ACZY2R3+01",23611.12,23611.12,17708.34,17708.34,17708.34,0,0,0,0,0
"JBAZXFU+01",23675.21,23675.21,17756.41,17756.41,17756.41,0,0,0,0,0
"AEPP765+01",23791.24,23791.24,17843.43,17843.43,17843.43,17843.43,0,0,0,0
"SZ524SK+01",23949.03,23949.03,17961.77,17961.77,17961.77,17961.77,0,0,0,0
"LDKF3SR+01",23950.34,23950.34,17962.75,17962.75,17962.75,17962.75,0,0,0,0
"TVZND5M+01",23966.69,23966.69,17975.02,17975.02,17975.02,0,0,0,0,0
"5C6W4FM+01",23979.19,23979.19,17984.39,17984.39,17984.39,0,0,0,0,0
"Q85KP38+01",24166.68,24166.68,18125.01,18125.01,18125.01,0,0,0,0,0
"YND7P9H+01",24500,24500,18375,18375,18375,18375,0,0,0,0
"KNEMU9H+01",24812.05,24812.05,18609.03,18609.03,18609.03,18609.03,0,0,0,0
"3HB3SBT+01",24999.96,24999.96,18749.97,18749.97,18749.97,18749.97,0,0,0,0
"6EP6CZ7+01",25000,25000,18750,18750,18750,0,0,0,0,0
"M9QRMXY+01",25083.39,25083.39,18812.54,18812.54,18812.54,0,0,0,0,0
"DCKQXHK+01",25247,25247,18935.25,18935.25,18935.25,0,0,0,0,0
"E4NSVNQ+01",25283.38,25283.38,18962.54,18962.54,18962.54,0,0,0,0,0
"3MASWK8+01",25375,25375,19031.25,19031.25,19031.25,0,0,0,0,0
"CYQ29SM+01",25437.56,25437.56,19078.17,19078.17,19078.17,0,0,0,0,0
"WBCXGDP+01",25500,25500,19125,19125,19125,19125,0,0,0,0
"TJFX23K+01",25643.9,25643.9,19232.92,19232.92,19232.92,19232.92,0,0,0,0
"V65QLQB+01",25776.8,25776.8,19332.6,19332.6,19332.6,0,0,0,0,0
"W249G6K+01",25841.73,25841.73,19381.29,19381.29,19381.29,0,0,0,0,0
"5X6QUN7+01",25903.7,25903.7,19427.77,19427.77,19427.77,0,0,0,0,0
"5X7FHPW+01",26000,26000,19500,19500,19500,0,0,0,0,0
"HAVP3N7+01",26000,26000,19500,19500,19500,0,0,0,0,0
"NWHA2AE+01",26187.36,26187.36,19640.52,19640.52,19640.52,0,0,0,0,0
"XSMNBVE+01",26455.07,26455.07,19841.3,19841.3,19841.3,0,0,0,0,0
"5TR2BKN+01",26643.78,26643.78,19982.83,19982.83,19982.83,19982.83,0,0,0,0
"LEHATDB+01",26666.75,26666.75,20000.06,20000.06,20000.06,0,0,0,0,0
"AYNKFQQ+01",26670,26670,20002.5,20002.5,20002.5,20002.5,0,0,0,0
"BEWX4P2+01",26941.69,26941.69,20206.26,20206.26,20206.26,0,0,0,0,0
"2RAEPN9+01",26963.75,26963.75,20222.81,20222.81,20222.81,0,0,0,0,0
"BEUNLCG+01",27000,27000,20250,20250,20250,0,0,0,0,0
"8HTCAT4+01",27022.24,27022.24,20266.68,20266.68,20266.68,0,0,0,0,0
"ZEEJFUE+01",27253.14,27253.14,20439.85,20439.85,20439.85,0,0,0,0,0
"JAF56XS+01",27500,27500,20625,20625,20625,0,0,0,0,0
"Q3RHUNS+01",27742.84,27742.84,20807.13,20807.13,20807.13,0,0,0,0,0
"U32B3DE+01",27750,27750,20812.5,20812.5,20812.5,0,0,0,0,0
"HRPQQYK+01",27777.92,27777.92,20833.44,20833.44,20833.44,0,0,0,0,0
"MNMTMBA+01",27963.94,27963.94,20972.96,20972.96,20972.96,0,0,0,0,0
"WQ5VJA5+01",27981.28,27981.28,20985.96,20985.96,20985.96,0,0,0,0,0
"3N3MWJN+01",28064.84,28064.84,21048.63,21048.63,21048.63,0,0,0,0,0
"VJDS7W3+01",28094.33,28094.33,21070.75,21070.75,21070.75,0,0,0,0,0
"C6F4D8M+01",28113.92,28113.92,21085.44,21085.44,21085.44,0,0,0,0,0
"ZXCFQDU+01",28144.19,28144.19,21108.14,21108.14,21108.14,0,0,0,0,0
"3SWVF84+01",28144.33,28144.33,21108.24,21108.24,21108.24,0,0,0,0,0
"PAQEJZB+01",28236.3,28236.3,21177.23,21177.23,21177.23,0,0,0,0,0
"RMWEC7U+01",28280.04,28280.04,21210.03,21210.03,21210.03,0,0,0,0,0
"KV4K2L3+01",28333.42,28333.42,21250.07,21250.07,21250.07,0,0,0,0,0
"PWPSVEP+01",28437.55,28437.55,21328.16,21328.16,21328.16,21328.16,0,0,0,0
"XWGSCLF+01",28490.06,28490.06,21367.54,21367.54,21367.54,0,0,0,0,0
"4NXCLZC+01",28495.38,28495.38,21371.53,21371.53,21371.53,21371.53,0,0,0,0
"79SURVU+01",28928.58,28928.58,21696.44,21696.44,21696.44,0,0,0,0,0
"9AC3ZZR+01",29095.58,29095.58,21821.69,21821.69,21821.69,0,0,0,0,0
"PG2PK78+01",29192.71,29192.71,21894.53,21894.53,21894.53,0,0,0,0,0
"HW7RDDD+01",29333.44,29333.44,22000.08,22000.08,22000.08,0,0,0,0,0
"KK69D9M+01",29570.11,29570.11,22177.58,22177.58,22177.58,0,0,0,0,0
"KP5WEFE+01",29750,29750,22312.5,22312.5,22312.5,22312.5,0,0,0,0
"7YQDD32+01",29804.2,29804.2,22353.15,22353.15,22353.15,0,0,0,0,0
"2GAUZQT+01",29973.84,29973.84,22480.38,22480.38,22480.38,0,0,0,0,0
"BJPXYJZ+01",30000,30000,22500,22500,22500,0,0,0,0,0
"UEP3SBQ+01",30000,30000,22500,22500,22500,0,0,0,0,0
"F82XZ4X+01",30095.14,30095.14,22571.36,22571.36,22571.36,0,0,0,0,0
"67SW6UD+01",30344.83,30344.83,22758.62,22758.62,22758.62,0,0,0,0,0
"YF48YWN+01",30482.56,30482.56,22861.92,22861.92,22861.92,0,0,0,0,0
"2ZW7G4X+01",30525,30525,22893.75,22893.75,22893.75,0,0,0,0,0
"CPD63NJ+01",30575.99,30575.99,22931.99,22931.99,22931.99,22931.99,0,0,0,0
"X8T3HMZ+01",30712.5,30712.5,23034.38,23034.38,23034.38,0,0,0,0,0
"ABVKEPZ+01",30769.93,30769.93,23077.44,23077.44,23077.44,23077.44,0,0,0,0
"G7G8CMX+01",30802.09,30802.09,23101.57,23101.57,23101.57,0,0,0,0,0
"CZ74LHQ+01",30951.23,30951.23,23213.42,23213.42,23213.42,23213.42,0,0,0,0
"CMHHNFA+01",31500,31500,23625,23625,23625,23625,0,0,0,0
"33JTW4V+01",31577.84,31577.84,23683.38,23683.38,23683.38,0,0,0,0,0
"TH449QS+01",32083.35,32083.35,24062.51,24062.51,24062.51,0,0,0,0,0
"CNCHNM2+01",32275.07,32275.07,24206.3,24206.3,24206.3,0,0,0,0,0
"9QBZTMD+01",32300,32300,24225,24225,24225,24225,0,0,0,0
"DMLAVJ7+01",32375.06,32375.06,24281.3,24281.3,24281.3,0,0,0,0,0
"AKEQQ9T+01",32379.94,32379.94,24284.96,24284.96,24284.96,0,0,0,0,0
"FLKEA5L+01",32666.74,32666.74,24500.06,24500.06,24500.06,0,0,0,0,0
"XGGVMVC+01",32666.74,32666.74,24500.06,24500.06,24500.06,0,0,0,0,0
"BUETHSD+01",32833.38,32833.38,24625.04,24625.04,24625.04,0,0,0,0,0
"EJXG32M+01",33097.6,33097.6,24823.2,24823.2,24823.2,24823.2,0,0,0,0
"BX7J3PU+01",33206.12,33206.12,24904.59,24904.59,24904.59,0,0,0,0,0
"8FCCA5E+01",33332.84,33332.84,24999.63,24999.63,24999.63,24999.63,0,0,0,0
"7YGD8Z4+01",33333.34,33333.34,25000,25000,25000,0,0,0,0,0
"8RZZJCT+01",33333.36,33333.36,25000.02,25000.02,25000.02,0,0,0,0,0
"8LU5QR2+01",33333.4,33333.4,25000.05,25000.05,25000.05,25000.05,0,0,0,0
"8S9MLVD+01",33333.44,33333.44,25000.08,25000.08,25000.08,0,0,0,0,0
"XRWQQEZ+01",33419,33419,25064.25,25064.25,25064.25,0,21750,21750,0,0
"QUGYPGQ+01",33834,33834,25375.5,25375.5,25375.5,0,0,0,0,0
"T6Y87D8+01",33835.05,33835.05,25376.29,25376.29,25376.29,0,0,0,0,0
"NSSZ6JX+01",33876.82,33876.82,25407.61,25407.61,25407.61,25407.61,0,0,0,0
"DDJRVCP+01",34509.97,34509.97,25882.48,25882.48,25882.48,0,0,0,0,0
"R5W9Z25+01",34583.34,34583.34,25937.5,25937.5,25937.5,0,0,0,0,0
"8V46ERB+01",35000,35000,26250,26250,26250,0,0,0,0,0
"8SYHJSF+01",35000,35000,26250,26250,26250,0,0,0,0,0
"EN8JCLC+01",35000.22,35000.22,26250.16,26250.16,26250.16,26250.16,0,0,0,0
"LNZERNL+01",35480.5,35480.5,26610.37,26610.37,26610.37,26610.37,0,0,0,0
"63BRH4H+01",35799.54,35799.54,26849.66,26849.66,26849.66,0,0,0,0,0
"ZYBTF37+01",35951.67,35951.67,26963.75,26963.75,26963.75,0,0,0,0,0
"BC8DDKD+01",36000,36000,27000,27000,27000,27000,0,0,0,0
"985WWJF+01",36290.92,36290.92,27218.19,27218.19,27218.19,0,0,0,0,0
"SREM8XH+01",36297.84,36297.84,27223.38,27223.38,27223.38,0,0,0,0,0
"T39LB7B+01",36300,36300,27225,27225,27225,0,0,0,0,0
"UFJKW4Y+01",36485.76,36485.76,27364.32,27364.32,27364.32,0,0,0,0,0
"FKQ7CL4+01",36663.64,36663.64,27497.73,27497.73,27497.73,27497.73,0,0,0,0
"25SFK78+01",36740,36740,27555,27555,27555,27555,0,0,0,0
"V3K46D6+01",37063.16,37063.16,27797.37,27797.37,27797.37,0,0,0,0,0
"WKJLKG3+01",37241.74,37241.74,27931.31,27931.31,27931.31,0,0,0,0,0
"NW6AEDV+01",37252.54,37252.54,27939.4,27939.4,27939.4,0,0,0,0,0
"CTJ3A6G+01",37291.68,37291.68,27968.76,27968.76,27968.76,0,0,0,0,0
"KKAMLHJ+01",37311.61,37311.61,27983.7,27983.7,27983.7,27983.7,0,0,0,0
"SQ38SAU+01",37464.69,37464.69,28098.51,28098.51,28098.51,28098.51,0,0,0,0
"YL6M2VM+01",37500.08,37500.08,28125.06,28125.06,28125.06,0,0,0,0,0
"GRTLLJ7+01",37500.18,37500.18,28125.13,28125.13,28125.13,28125.13,0,0,0,0
"CGCR8A5+01",37534.01,37534.01,28150.51,28150.51,28150.51,0,0,0,0,0
"NX466Q5+01",37590,37590,28192.5,28192.5,28192.5,28192.5,0,0,0,0
"FPPDRB6+01",37701.72,37701.72,28276.29,28276.29,28276.29,28276.29,0,0,0,0
"CKUW2D8+01",37993.42,37993.42,28495.07,28495.07,28495.07,0,0,0,0,0
"99U43DP+01",38000,38000,28500,28500,28500,0,0,0,0,0
"HBX9LDA+01",38095.4,38095.4,28571.55,28571.55,28571.55,0,0,0,0,0
"ANJUCCD+01",38120.67,38120.67,28590.5,28590.5,28590.5,0,0,0,0,0
"NV4S7H9+01",38133.41,38133.41,28600.05,28600.05,28600.05,0,0,0,0,0
"NG742LW+01",38333.38,38333.38,28750.04,28750.04,28750.04,0,0,0,0,0
"XPQSBEL+01",38659.66,38659.66,28994.74,28994.74,28994.74,28994.74,0,0,0,0
"VPHJ8NL+01",38673.22,38673.22,29004.92,29004.92,29004.92,0,0,0,0,0
"7F7PWC9+01",39200.06,39200.06,29400.05,29400.05,29400.05,0,0,0,0,0
"N4SKDX5+01",39239.85,39239.85,29429.89,29429.89,29429.89,0,0,0,0,0
"XRJ774M+01",39253.46,39253.46,29440.1,29440.1,29440.1,0,0,0,0,0
"EY2LK99+01",40000,40000,30000,30000,30000,0,0,0,0,0
"KPXZSSY+01",40000,40000,30000,30000,30000,0,0,0,0,0
"67FYBSP+01",40000,40000,30000,30000,30000,0,0,0,0,0
"XZEM4FM+01",40000,40000,30000,30000,30000,0,0,0,0,0
"DB9YUXC+01",40000.04,40000.04,30000.03,30000.03,30000.03,0,0,0,0,0
"NCJEBC9+01",40015,40015,30011.25,30011.25,30011.25,0,0,0,0,0
"U92V3ZH+01",40021.68,40021.68,30016.26,30016.26,30016.26,0,0,0,0,0
"VLW3VGK+01",40177.14,40177.14,30132.85,30132.85,30132.85,30132.85,0,0,0,0
"NGUTYBC+01",40316.68,40316.68,30237.51,30237.51,30237.51,0,0,0,0,0
"H48Q2TA+01",40500,40500,30375,30375,30375,30375,0,0,0,0
"MSKB83Q+01",40616.99,40616.99,30462.74,30462.74,30462.74,30462.74,0,0,0,0
"PWACCTL+01",40666.8,40666.8,30500.1,30500.1,30500.1,0,0,0,0,0
"F7PAGRA+01",40700.16,40700.16,30525.12,30525.12,30525.12,0,0,0,0,0
"9ZVUJKS+01",41394.65,41394.65,31045.98,31045.98,31045.98,31045.98,0,0,0,0
"F3J2RE9+01",42181.84,42181.84,31636.38,31636.38,31636.38,0,0,0,0,0
"9TUTUHG+01",42229.2,42229.2,31671.9,31671.9,31671.9,0,0,0,0,0
"4PLNH4J+01",42250.07,42250.07,31687.55,31687.55,31687.55,31687.55,0,0,0,0
"H76M9KX+01",42436.49,42436.49,31827.36,31827.36,31827.36,31827.36,0,0,0,0
"DJJBTG5+01",42500,42500,31875,31875,31875,0,0,0,0,0
"6DEWD4J+01",42798.24,42798.24,32098.68,32098.68,32098.68,32098.68,0,0,0,0
"PXLEX4R+01",43083.42,43083.42,32312.57,32312.57,32312.57,0,0,0,0,0
"6BZUXUS+01",43155.07,43155.07,32366.3,32366.3,32366.3,0,0,0,0,0
"AP763F9+01",43290.4,43290.4,32467.8,32467.8,32467.8,0,0,0,0,0
"92ENFN8+01",43340.53,43340.53,32505.4,32505.4,32505.4,0,0,0,0,0
"PMQZS6V+01",43413.81,43413.81,32560.36,32560.36,32560.36,0,0,0,0,0
"8GDQ46E+01",43500,43500,32625,32625,32625,0,0,0,0,0
"E7PRCXA+01",43518.56,43518.56,32638.92,32638.92,32638.92,0,0,0,0,0
"WVRUN9A+01",43629.41,43629.41,32722.05,32722.05,32722.05,32722.05,0,0,0,0
"AZAL5XY+01",43730,43730,32797.5,32797.5,32797.5,0,0,0,0,0
"B7ZNDUG+01",43960.76,43960.76,32970.57,32970.57,32970.57,32970.57,0,0,0,0
"67AKZCN+01",44000,44000,33000,33000,33000,0,0,0,0,0
